"name","springdist","distprev","elevation","elevationdiff","amenities","links"
" Big Cedar Mt. ","0.211E2","0.1E1","0.3737E4","0.587E3"," None ","<a href=""http://www.panoramio.com/photo/10488057"">Big Cedar Mt.</a>"
" Dan Gap ","0.224E2","0.13E1","0.33E4","-0.437E3"," None ",""
" Burnett Field Mt. ","0.252E2","0.28E1","0.348E4","0.18E3"," None ",""
" Jarrard Gap ","0.257E2","0.5E0","0.325E4","-0.23E3"," W,C*,Sh* ","<a href=""http://picasaweb.google.com/lh/photo/LfXV-s_yzeoJwL9ycr1fuQ"">Jarrard Gap</a>"
" Woods Hole Shelter (pic) ","0.27E2","0.13E1","0.36E4","0.35E3"," S*,W* ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WoodsHole"">Woods Hole Shelter</a><a href=""http://www.flickr.com/photos/61273142@N00/124688117/"">pic</a>"
" Bird Gap, Freeman Trail ","0.271E2","0.1E0","0.365E4","0.5E2"," None ","<a href=""http://www.flickr.com/photos/trancemist/3513186279/"">Bird Gap</a>"
" Slaughter Creek Campsite ","0.275E2","0.4E0","0.38E4","0.15E3"," C,W ","<a href=""http://whiteblaze.net/forum/vbg/files/2/7/8/5/appalachian_trail_09_126.jpg"">Slaughter Creek Campsite</a>"
" Flatrock Gap, Byron Reese Memorial Trail ","0.297E2","0.22E1","0.345E4","-0.35E3","W ","<a href=""http://picasaweb.google.com/lh/photo/MAHDOVxKDWMeUqzE_G-X5g"">Flatrock Gap</a>"
" Neels Gap, US 19/129 ","0.307E2","0.1E1","0.3125E4","-0.325E3"," R,L,O,Sh,Cl ","<a href=""http://www.summitpost.org/image/426169/150881/at-at-wasaliyi-inn.html"">Neels Gap, US 19/129</a>"
" Bull Gap ","0.318E2","0.11E1","0.369E4","0.565E3"," C,W ","<a href=""http://www.pinhotitrailalliance.org/images/0-0bullgap.jpg"">Bull Gap</a>"
" Levelland Mt. ","0.322E2","0.4E0","0.3942E4","0.252E3"," None ","<a href=""http://outdoors.webshots.com/photo/1074708536046379534BFUScI"">Levelland Mt.</a>"
" Swaim Gap ","0.328E2","0.6E0","0.347E4","-0.472E3"," None ",""
" Rock Spring Top ","0.335E2","0.7E0","0.352E4","0.5E2"," W ","<a href=""http://outdoors.webshots.com/photo/1138279226053682547LhQdCu"">Rock Spring Top</a>"
" Corbin Horse Stamp ","0.34E2","0.5E0","0.362E4","0.1E3"," None ",""
" Wolf Laurel Top ","0.341E2","0.1E0","0.3766E4","0.146E3"," None ","<a href=""http://www.cnyhiking.com/WolfLaurelTop001.jpg"">Wolf Laurel Top</a>"
" Baggs Creek Gap ","0.349E2","0.8E0","0.38E4","0.34E2"," C,W ",""
" Cowrock Mt. ","0.354E2","0.5E0","0.3842E4","0.42E2"," None ","<a href=""http://www.cnyhiking.com/CowrockMtn001.jpg"">Cowrock Mt.</a>"
" Tesnatee Gap, GA 348 ","0.362E2","0.8E0","0.3138E4","-0.704E3"," None ","<a href=""http://www.cnyhiking.com/CowrockMtn001.jpg"">Tesnatee Gap</a>"
" Wildcat Mt. ","0.367E2","0.5E0","0.35E4","0.362E3"," None ","<a href=""http://www.cnyhiking.com/wildcatmtnsunset.JPG"">Wildcat Mt.</a>"
" Whitley Gap Shelter (pic) ","0.369E2","0.2E0","0.337E4","-0.13E3"," S*,W* ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WhitleyG"">Whitley Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/ZDTkLonqJkQtOMD7_eZYGQ"">pic</a>"
" Hogpen Gap, GA 348 ","0.371E2","0.2E0","0.345E4","0.8E2"," W","<a href=""http://notd.blogs.com/photos/tdg/hogpen_signjpg.jpg"">Hogpen Gap, GA 348</a>"
" White Oak Stamp ","0.38E2","0.9E0","0.347E4","0.2E2"," None ","<a href=""http://notd.blogs.com/photos/tdg/hogpen_signjpg.jpg"">White Oak Stamp</a>"
" Poor Mt. ","0.39E2","0.1E1","0.362E4","0.15E3"," None ",""
" Sheep Rock Top ","0.407E2","0.17E1","0.36E4","-0.2E2"," None ","<a href=""http://outdoors.webshots.com/photo/1295505941064497889RvRyYe"">Sheep Rock Top</a>"
" Low Gap Shelter (pic) ","0.415E2","0.8E0","0.305E4","-0.55E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=LowGap"">Low Gap Shelter</a><a href=""http://whiteblaze.net/forum/vbg/files/4/1/low_gap-med.jpg"">pic</a>"
" Poplar Stamp Gap ","0.429E2","0.14E1","0.299E4","-0.6E2","C,W ","<a href=""http://www.flickr.com/photos/hikerdana/166750001/"">Poplar Stamp Gap</a>"
" Cold Springs Gap ","0.453E2","0.24E1","0.33E4","0.31E3"," None ",""
" Chattahoochee Gap ","0.465E2","0.12E1","0.35E4","0.2E3"," W* ","<a href=""http://picasaweb.google.com/lh/photo/xlFOTbcRc3uhUfHMOTu2bg"">Chattahoochee Gap</a>"
" Red Clay Gap ","0.471E2","0.6E0","0.3485E4","-0.15E2"," None ",""
" campsite ","0.478E2","0.7E0","0.36E4","0.115E3","C ",""
" spring ","0.48E2","0.2E0","0.35E4","-0.1E3"," W ",""
" Blue Mt. Shelter (pic) ","0.487E2","0.7E0","0.39E4","0.4E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BlueMtn"">Blue Mt. Shelter</a><a href=""http://picasaweb.google.com/lh/photo/NfeI3IKLPLYtaBGMHnnxig"">pic</a>"
" Blue Mt. ","0.495E2","0.8E0","0.4025E4","0.125E3"," None ",""
" Unicoi Gap, GA 75 ","0.509E2","0.14E1","0.2949E4","-0.1076E4"," None ","<a href=""http://www.flickr.com/photos/15572047@N00/20147221"">Unicoi Gap, GA 75</a>"
" stream ","0.515E2","0.6E0","0.33E4","0.351E3"," W ",""
" Rocky Mt. ","0.522E2","0.7E0","0.4017E4","0.717E3"," C ","<a href=""http://urbanbaboon.blogspot.com/2007/03/at-rocky-mountain-trail.html"">Rocky Mt.</a>"
" Indian Grave Gap, USFS 283 ","0.535E2","0.13E1","0.3113E4","-0.904E3"," None ","<a href=""http://www.scotthearn.com/WALKABOUTBLOG/content/binary/DSCN0993.JPG"">Indian Grave Gap, USFS 283</a>"
" Tray Mt. Road, USFS 79 ","0.542E2","0.7E0","0.358E4","0.467E3"," None ",""
" Cheese Factory Site ","0.545E2","0.3E0","0.359E4","0.1E2"," C,W","<a href=""http://www.scotthearn.com/WALKABOUTBLOG/content/binary/DSCN0996.JPG"">Cheese Factory Site</a>"
" Tray Gap, Tray Mt. Road ","0.553E2","0.8E0","0.3847E4","0.257E3"," None ","<a href=""http://www.flickr.com/photos/runsonsumatra/3511474485/in/set-72157617762637085/"">Tray Gap</a>"
" Tray Mt. ","0.561E2","0.8E0","0.443E4","0.583E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/155283/tray-mountain.html"">Tray Mt.</a>"
" Tray Mt. Shelter (pic) ","0.565E2","0.4E0","0.42E4","-0.23E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=TrayMtn"">Tray Mt. Shelter</a><a href=""http://whiteblaze.net/forum/vbg/files/4/1/ga_-_tray_mountain_shelter-med.jpg"">pic</a>"
" Swag of the Blue Ridge ","0.601E2","0.36E1","0.34E4","-0.8E3"," None ","<a href=""http://www.flickr.com/photos/cyclopshiker/2389005657/"">Swag of the Blue Ridge</a>"
" Sassafras Gap ","0.613E2","0.12E1","0.35E4","0.1E3"," W",""
" Addis Gap ","0.621E2","0.8E0","0.3304E4","-0.196E3"," C*,W* ","<a href=""http://picasaweb.google.com/lh/photo/ECHrXG83BwXGm6gwN7EtHg"">Addis Gap</a>"
" Kelly Knob ","0.631E2","0.1E1","0.4276E4","0.972E3"," None ","<a href=""http://www.flickr.com/photos/hambrick/410156719/in/set-72157594569349961/"">Kelly Knob</a>"
" Deep Gap Shelter (pic) ","0.64E2","0.9E0","0.355E4","-0.726E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=DeepGap"">Deep Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/MLBW_XpeT9HYkvPBA7y_AA"">pic</a>"
" McClure Gap ","0.651E2","0.11E1","0.365E4","0.1E3"," C ",""
" Powell Mt. ","0.653E2","0.2E0","0.385E4","0.2E3"," None ","<a href=""http://www.runtrails.net/journal/images/1_ga/smooth.jpg"">Powell Mt.</a>"
" Moreland Gap ","0.663E2","0.1E1","0.32E4","-0.65E3"," None ",""
" stream ","0.669E2","0.6E0","0.265E4","-0.55E3"," W",""
" Dicks Creek Gap ","0.675E2","0.6E0","0.2675E4","0.25E2"," W,H* ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3240027.jpg"">Dicks Creek Gap</a>"
" campsite ","0.686E2","0.11E1","0.315E4","0.475E3"," C,W ",""
" Cowart Gap ","0.693E2","0.7E0","0.29E4","-0.25E3"," None ","<a href=""http://picasaweb.google.com/lh/photo/ByaljC0OCt29ofeNZ0RsbQ"">Cowart Gap</a>"
" Bull Gap ","0.708E2","0.15E1","0.369E4","0.79E3"," None ",""
" Plumorchard Gap Shelter (pic) ","0.72E2","0.12E1","0.305E4","-0.64E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Plumorchar"">Plumorchard Gap Shelter</a><a href=""http://joeliles.chunkyboy.com/wp-content/uploads/2009/03/pics_0320/plumorchard_shelter.jpg"">pic</a>"
" As Knob ","0.727E2","0.7E0","0.346E4","0.41E3"," None ",""
" Blue Ridge Gap ","0.733E2","0.6E0","0.302E4","-0.44E3"," None ",""
" campsite ","0.743E2","0.1E1","0.35E4","0.48E3"," C,W ",""
" Rich Cove Gap ","0.745E2","0.2E0","0.339E4","-0.11E3"," None ",""
" GA-NC State Line ","0.764E2","0.19E1","0.3825E4","0.435E3"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3240038.jpg"">GA-NC State Line</a>"
" Bly Gap ","0.765E2","0.1E0","0.384E4","0.15E2","C,W ","<a href=""http://www.hiketheappalachian.com/media/blogPhotos/ncline.JPG"">Bly Gap</a>"
" Sharp Top ","0.768E2","0.3E0","0.434E4","0.5E3","None","<a href=""http://www.summitpost.org/sharp-top/758161"">Sharp Top</a>"
" Sassafras Gap ","0.784E2","0.16E1","0.43E4","-0.4E2"," None ","<a href=""http://picasaweb.google.com/lh/photo/f1u11iFWL9L8pBcRdg_eHw"">Sassafras Gap</a>"
" Muskrat Creek Shelter (pic) ","0.793E2","0.9E0","0.46E4","0.3E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=MuskratCr"">Muskrat Creek Shelter</a><a href=""http://picasaweb.google.com/lh/photo/L80XOCOHAKFDWHoAWT_L7g"">pic</a>"
" Whiteoak Stamp ","0.801E2","0.8E0","0.462E4","0.2E2"," None ",""
" Chunky Gal Trail ","0.803E2","0.2E0","0.47E4","0.8E2"," None ","<a href=""http://outdoors.webshots.com/photo/1143858918051451973QVFZhl"">Chunky Gal Trail</a>"
" Wateroak Gap ","0.812E2","0.9E0","0.449E4","-0.21E3"," None ","<a href=""http://www.flickr.com/photos/uallas/2545529107/"">Wateroak Gap</a>"
" Deep Gap, USFS 71, Kimsey Creek Trail ","0.833E2","0.21E1","0.4341E4","-0.149E3"," W","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3250048.jpg"">Deep Gap</a>"
" Standing Indian Shelter (pic) ","0.842E2","0.9E0","0.476E4","0.419E3"," S,W","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=StandingI"">Standing Indian Shelter</a><a href=""http://www.panoramio.com/photo/24688774"">pic</a>"
" Standing Indian Mt. ","0.857E2","0.15E1","0.5498E4","0.738E3"," W ","<a href=""http://www.summitpost.org/mountain/rock/151640/standing-indian-mountain.html"">Standing Indian Mt.</a>"
"Beech Gap ","0.886E2","0.29E1","0.446E4","-0.1038E4"," C,W ",""
" Timber Ridge Trail ","0.914E2","0.28E1","0.47E4","0.24E3"," None ",""
" Carter Gap Shelter (pic) ","0.918E2","0.4E0","0.454E4","-0.16E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=CarterG2"">Carter Gap Shelter</a><a href=""http://outdoors.webshots.com/photo/2711277660047269387ojUmbv"">pic</a>"
" Betty Creek Gap ","0.955E2","0.37E1","0.43E4","-0.24E3","C,W ","<a href=""http://travel.webshots.com/photo/1361088787046032069XeCPgV"">Betty Creek Gap</a>"
" Mooney Gap, USFS 83 ","0.964E2","0.9E0","0.44E4","0.1E3"," None ","<a href=""http://outdoors.webshots.com/photo/2833659720047269387fHUDxV"">Mooney Gap, USFS 83</a>"
" spring ","0.966E2","0.2E0","0.45E4","0.1E3"," W ",""
" Bearpen Trail, USFS 67 ","0.977E2","0.11E1","0.479E4","0.29E3"," None ",""
" Albert Mt. ","0.98E2","0.3E0","0.525E4","0.46E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/154267/albert-mountain.html"">Albert Mt.</a>"
" Big Spring Shelter (pic) ","0.986E2","0.6E0","0.494E4","-0.31E3","S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BigSpring"">Big Spring Shelter</a><a href=""http://www.mtnlion.org/web_images/at1_025.jpg"">pic</a>"
" Glassmine Gap ","0.1014E3","0.28E1","0.416E4","-0.78E3"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3270074.jpg"">Glassmine Gap</a>"
" Rock Gap Shelter (pic) ","0.1039E3","0.25E1","0.376E4","-0.4E3","S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=RockGap"">Rock Gap Shelter</a><a href=""http://www.maconcommunity.org/nhc/PICS/2dale003.jpg"">pic</a>"
" Rock Gap, Standing Indian Campground ","0.104E3","0.1E0","0.375E4","-0.1E2"," C,Sh,G ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3280076.jpg"">Rock Gap</a>"
" Wallace Gap, Old US 64 ","0.1046E3","0.6E0","0.3738E4","-0.12E2"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/03/p3280077.jpg"">Wallace Gap, Old US 64</a>"
" Winding Stair Gap, US 64 ","0.1077E3","0.31E1","0.377E4","0.32E2"," W","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p3310003.jpg"">Winding Stair Gap, US 64</a>"
" campsite ","0.1086E3","0.9E0","0.397E4","0.2E3"," C,W",""
" Swinging Lick Gap ","0.1088E3","0.2E0","0.41E4","0.13E3"," None ","<a href=""http://www.flickr.com/photos/39926480@N04/3851089740"">Swinging Lick Gap</a>"
" Panther Gap ","0.1097E3","0.9E0","0.448E4","0.38E3"," None ","<a href=""http://www.flickr.com/photos/crumleydotorg/2606813909/"">Panther Gap</a>"
" Siler Bald Shelter (pic) ","0.1114E3","0.17E1","0.46E4","0.12E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=SilerBald"">Siler Bald Shelter</a><a href=""http://outdoors.webshots.com/photo/1352619672049490358xlPMkw"">pic</a>"
" Wayah Gap, SR 1310 ","0.1136E3","0.22E1","0.418E4","-0.42E3"," None ","<a href=""http://outdoors.webshots.com/photo/1185575552042531182TzoFyS"">Wayah Gap, SR 1310</a>"
" USFS 69 ","0.1154E3","0.18E1","0.49E4","0.72E3"," W ",""
" Wine Spring Bald side trail ","0.1159E3","0.5E0","0.529E4","0.39E3"," C,W ","<a href=""http://www.summitpost.org/mountain/rock/516313/wine-spring-bald.html"">Wine Spring Bald</a>"
" Wayah Bald ","0.1178E3","0.19E1","0.5342E4","0.52E2"," None ","<a href=""http://www.summitpost.org/mountain/rock/516018/wayah-bald.html"">Wayah Bald</a>"
" campsite ","0.1182E3","0.4E0","0.52E4","-0.142E3"," C,W ",""
" Wayah Shelter (pic) ","0.1187E3","0.5E0","0.4759E4","-0.441E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Wayah"">Wayah Shelter</a><a href=""http://www.flickr.com/photos/ubtcmdr/3854343688/"">pic</a>"
" Licklog Gap ","0.12E3","0.13E1","0.444E4","-0.319E3"," W ",""
" Burningtown Gap, SR 1397 ","0.1223E3","0.23E1","0.4236E4","-0.204E3"," None ","<a href=""http://www.flickr.com/photos/jritch/2760285476/"">Burningtown Gap</a>"
" Cold Spring Shelter (pic) ","0.1235E3","0.12E1","0.492E4","0.684E3"," S,C,W ","<a href=""http://www.flickr.com/photos/jritch/2760285476/"">Cold Spring Shelter</a><a href=""http://www.panoramio.com/photo/21750053"">pic</a>"
" Copper Ridge Bald Lookout ","0.1242E3","0.7E0","0.508E4","0.16E3"," None ","<a href=""http://www.pbase.com/bstelloh/image/2936250"">Copper Ridge Bald Lookout</a>"
" Rocky Bald Lookout side trail ","0.1254E3","0.12E1","0.503E4","-0.5E2"," None ","<a href=""http://www.mtnlion.org/web_images/wayah_bald.jpg"">Rocky Bald Lookout</a>"
" spring ","0.1257E3","0.3E0","0.49E4","-0.13E3"," W ",""
" Tellico Gap, SR 1365 ","0.1271E3","0.14E1","0.385E4","-0.105E4"," None ","<a href=""http://www.flickr.com/photos/gghiker/3089625821/"">Tellico Gap</a>"
" Wesser Bald Tower ","0.1285E3","0.14E1","0.4627E4","0.777E3"," None ","<a href=""http://www.panoramio.com/photo/8677343"">Wesser Bald Tower</a>"
" spring ","0.1292E3","0.7E0","0.41E4","-0.527E3"," W ",""
" Wesser Bald Shelter (pic) ","0.1293E3","0.1E0","0.4115E4","0.15E2"," S,C,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WesserBal"">Wesser Bald Shelter</a><a href=""http://www.whiteblaze.net/gallery/data/565/41nc_-_wesser_bald_shelter.jpg"">pic</a>"
" Jump-up Lookout ","0.1309E3","0.16E1","0.4E4","-0.115E3"," None ","<a href=""http://picasaweb.google.com/lh/photo/NLdttQNIMpOWGvvT7UGRJw"">Jump-up Lookout</a>"
" A. Rufus Morgan Shelter (pic) ","0.1342E3","0.33E1","0.23E4","-0.17E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=ARufusM"">A. Rufus Morgan Shelter</a><a href=""http://picasaweb.google.com/lh/photo/naWdDrWSkhMNPftsG9dXwg"">pic</a>"
" Nantahala Outdoor Center ","0.135E3","0.8E0","0.1723E4","-0.577E3"," L,R,G,O,Sh,Cl,C* ","<a href=""http://www.noc.com"">Nantahala Outdoor Center</a>"
" Wright Gap ","0.1366E3","0.16E1","0.239E4","0.667E3"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p4120005.jpg"">Wright Gap</a>"
" Grassy Gap ","0.1381E3","0.15E1","0.305E4","0.66E3"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p4120009.jpg"">Grassy Gap</a>"
" Swim Bald ","0.141E3","0.29E1","0.471E4","0.166E4"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p4120012.jpg"">Swim Bald</a>"
" Sassafras Gap Shelter (pic) ","0.1419E3","0.9E0","0.433E4","-0.38E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Sassafras"">Sassafras Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/BfTeM9qOtdc6bzRCA6fXnQ"">pic</a>"
" Cheoah Bald ","0.1431E3","0.12E1","0.5062E4","0.732E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/155095/cheoah-bald.html"">Cheoah Bald</a>"
" Locust Grove Gap ","0.1455E3","0.24E1","0.369E4","-0.1372E4"," C,W ",""
" Simp Gap ","0.1465E3","0.1E1","0.37E4","0.1E2"," None ",""
" Stecoah Gap, NC 143 ","0.1486E3","0.21E1","0.3165E4","-0.535E3"," W ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p4130033.jpg"">Stecoah Gap, NC 143</a>"
" Sweetwater Gap ","0.1496E3","0.1E1","0.327E4","0.105E3"," None ",""
" Brown Fork Gap Shelter (pic) ","0.151E3","0.14E1","0.38E4","0.53E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BrownFork"">Brown Fork Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/q6vrXti8-2ts-pIp-8BG5w"">pic</a>"
" Brown Fork Gap ","0.1512E3","0.2E0","0.36E4","-0.2E3"," None ","<a href=""http://outdoors.webshots.com/photo/1202273163042531182cOVyvy"">Brown Fork Gap</a>"
" Hogback Gap ","0.153E3","0.18E1","0.354E4","-0.6E2"," None ",""
" Cody Gap ","0.1538E3","0.8E0","0.36E4","0.6E2"," C,W ","<a href=""http://cache.backpackinglight.com/backpackinglight/user_uploads/1261695060_19038.jpg"">Cody Gap</a>"
" Yellow Creek Gap, SR 1242 ","0.1562E3","0.24E1","0.298E4","-0.62E3"," None ",""
" Cable Gap Shelter (pic) ","0.1571E3","0.9E0","0.288E4","-0.1E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=CableGap"">Cable Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/1Wlm6e-WPWWymuXQs9qslA"">pic</a>"
" Black Gum Gap ","0.1585E3","0.14E1","0.349E4","0.61E3"," None ",""
" Walker Gap ","0.1599E3","0.14E1","0.345E4","-0.4E2"," None ",""
" campsite ","0.1601E3","0.2E0","0.32E4","-0.25E3"," C,W ",""
" NC 28, Fontana Dam ","0.1626E3","0.25E1","0.181E4","-0.139E4"," L*,R*,G*,O*,Cl* ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/04/p4150053.jpg"">NC 28, Fontana Dam</a>"
" Fontana Dam Shelter (pic) ","0.1637E3","0.11E1","0.1775E4","-0.35E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Fontana"">Fontana Dam Shelter</a><a href=""http://picasaweb.google.com/lh/photo/qrhmq3mAxske0j6ga2nw5A"">pic</a>"
" Fontana Dam Visitors Center ","0.164E3","0.3E0","0.17E4","-0.75E2"," W,Sh ","<a href=""http://www.tva.gov/sites/fontana.htm"">Fontana Dam Visitors Center</a>"
" Fontana Dam, GSMNP west boundary ","0.1644E3","0.4E0","0.174E4","0.4E2"," None ","<a href=""http://www.panoramio.com/photo/9411164"">Fontana Dam</a><a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/05/p5010004.jpg""><b>GSMNP west boundary</b></a>"
" Shuckstack ","0.1684E3","0.4E1","0.38E4","0.206E4"," None ","<a href=""http://www.ioerror.us/wordpress/wp-content/uploads/2008/05/p5010014.jpg"">Shuckstack</a>"
" Birch Spring Gap ","0.1696E3","0.12E1","0.368E4","-0.12E3"," C,W ","<a href=""http://i251.photobucket.com/albums/gg313/carlgoodman/IceontentatBirchSpringGap.jpg"">Birch Spring Gap</a>"
" Doe Knob ","0.1719E3","0.23E1","0.452E4","0.84E3"," None ",""
" Ekaneetlee Gap ","0.1733E3","0.14E1","0.3842E4","-0.678E3"," W ","<a href=""http://solitarywalker.com/images/AUT_1810.JPG"">Ekaneetlee Gap</a>"
" Mollies Ridge Shelter (pic) ","0.175E3","0.17E1","0.457E4","0.728E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=MolliesR"">Mollies Ridge Shelter</a><a href=""http://commons.wikimedia.org/wiki/File:Mollies-ridge-shelter-gsmnp1.jpg"">pic</a>"
" Devils Tater Patch ","0.1751E3","0.1E0","0.4775E4","0.205E3"," None ",""
" Little Abrams Gap ","0.1767E3","0.16E1","0.412E4","-0.655E3"," None ",""
