"name","springdist","distprev","elevation","elevationdiff","elevationloss","elevationgain","shelterdist","amenities"
"Holiday Inn","437.93","6.76","1167.44","-72.73","-5.3","0.0","0.01","0.01 mi from trail. Campground, AT passes small log shelter, built in 1934; no water; emergency shelter for 3 or"
"Abingdon Gap Shelter","439.24","1.31","1146.1","-21.34","-18.2","0.0","0.01","0.01 mi from trail. Campground, Spring located in hollow 275 yds behind shelter on blue blazed trail--gb, 50"
"The Place","449.24","9.99","588.0","-558.1","-13.9","0.0","0.04","0.04 mi from trail. Campground, Hostel is at rear of Damascus United Methodist Church--gb, 138"
"Saunders Shelter","458.17","8.94","1027.0","439.0","-9.29","0.0","0.09","0.09 mi from trail. Campground, Blue blazed trail leads 150 yds beyond shelter to spring--gb, 137"
"Lost Mountain Shelter","464.52","6.35","1031.02","4.02","-10.21","0.0","0.01","0.01 mi from trail. Campground, AT reaches Lost Mountain Shelter; spring 150 yds from shelter; privy nearby--gb,"
"Thomas Knob Shelter","476.44","11.91","1650.0","618.98","-0.91","0.14","0.0","0.0 mi from trail. Campground, Spring is E of AT, behind shelter, in fenced area--gb, 123"
"Wise Shelter","481.41","4.98","1345.93","-304.07","-0.07","0.14","0.0","0.0 mi from trail. Campground, Water available from spring 100 yards south of shelter; privy nearby--gb, 125"
"Old Orchard Shelter","487.36","5.95","1240.93","-105.0","-0.91","0.0","0.0","0.0 mi from trail. Campground, Spring is 100 yds to W of AT in woods--gb, 126"
"Racoon Branch Shelter","498.7","11.34","1128.09","-112.84","-0.85","0.94","0.11","0.11 mi from trail. Campground, Water from nearby spring--gb, 105; Water is in front of the shelter--2000 Compan"
"Trimpi Shelter","501.31","2.61","923.35","-204.74","-8.09","0.94","0.09","0.09 mi from trail. Campground, Water from nearby spring--gb, 105; Water is in front of the shelter--2000 Compan"
"Partnership Shelter","511.11","9.8","986.02","62.68","-8.09","0.16","0.0","0.0 mi from trail. Campground, Shelter has shower and laundry sink; privy nearby--gb, 15;"
"Chatfield Shelter","518.08","6.96","981.65","-4.37","0.0","0.61","0.01","0.01 mi from trail. Campground, Water available from stream in front of shelter--gb, 98"
"Davis Path Shelter","525.33","7.25","888.11","-93.54","0.0","1.15","0.0","0.0 mi from trail. Campground, No water at shelter--gb, 85; Water available 0.9 mi S of shelter, off AT--gb, 90"
"Knot Maul Branch Shelter","536.75","11.42","837.48","-50.64","-4.35","0.7","0.0","0.0 mi from trail. Campground, Intermittent spring is 300 ft to left of shelter; water 0.2 mi N of shelter on A"
"Chestnut Knob Shelter","545.88","9.12","1343.62","506.14","-4.35","1.66","0.0","0.0 mi from trail. Campground, No water at shelter; water located 1.3 mi N and 1.8 mi S of shelter--gb, 78-79"
"Jenkins Shelter","556.25","10.37","732.16","-611.46","-0.02","1.66","0.04","0.04 mi from trail. Campground, Water is about 100 yds beyond shelter on blue-blazed trail--gb, 72"
"Helveys Mill Shelter","569.81","13.56","946.52","214.36","-0.02","0.08","0.09","0.09 mi from trail. Campground, Water nearby on blue blaze trail--gb, 60, 62."
"Jenny Knob Shelter","579.62","9.82","806.27","-140.25","-0.44","0.08","0.05","0.05 mi from trail. Campground, Spring is beyond shelter on blue-blazed trail--gb, 64"
"Wapiti Shelter","593.87","14.25","797.25","-9.01","-0.44","1.81","0.04","0.04 mi from trail. Campground, Water from nearby Dismal Creek--gb, 45"
"Doc's Knob Shelter","602.89","9.02","1087.71","290.46","-0.07","1.81","0.02","0.02 mi from trail. Campground, AT passes Doc's Knob Shelter, with nearby spring--gb, 47"
"Rice Field Shelter","618.5","15.61","1014.77","-72.94","-0.07","1.01","0.04","0.04 mi from trail. Campground, Alt. 3400'--db, 49; Water is a steep 0.5 mi downhill--Companion, 53"
"Pine Swamp Branch Shelter","630.71","12.21","782.61","-232.16","0.0","4.16","0.01","0.01 mi from trail. Campground, Water is available from Pine Swamp Branch 150 yds to W of AT--gb, 269"
"Bailey Gap Shelter","634.53","3.83","1069.57","286.96","0.0","4.16","0.01","0.01 mi from trail. Campground, Seasonal spring, across trail from shelter, may be dry in summer--gb, 259"
"War Spur Shelter","642.93","8.39","713.42","-356.15","-0.57","1.01","0.0","0.0 mi from trail. Campground, Shelter is 100 ft W of AT with water from stream--gb, 260"
"Laurel Creek Shelter","649.09","6.16","845.32","131.9","-2.94","0.0","0.02","0.02 mi from trail. Campground, Water is available 100 yds north on AT from Laurel Creek--gb, 253"
"Saver Hollow Shelter","655.93","6.85","1021.1","175.78","-2.37","0.16","0.19","0.19 mi from trail. "
"Niday Shelter","661.68","5.74","614.76","-406.34","-1.54","0.16","0.02","0.02 mi from trail. Campground, Blue-blazed trail leads 50 feet E to Niday Shelter; water from stream on W of AT"
"Pickle Branch Shelter","671.41","9.74","547.68","-67.08","-1.92","0.0","0.11","0.11 mi from trail. "
"Boy Scout Shelter","684.84","13.42","592.23","44.55","-1.71","0.0","0.01","0.01 mi from trail. Campground, Seasonal spring in front of shelter is usually dry in summer--gb, 229"
"Catawba Mountain Shelter","685.98","1.15","668.37","76.14","-1.81","0.0","0.03","0.03 mi from trail. Campground, Spring is near shelter, on blue-blazed trail to W of AT--gb, 229"
"Campbell Shelter","688.28","2.29","802.71","134.35","-0.51","0.0","0.0","0.0 mi from trail. Campground, A spring is nearby--gb, 229"
"Lamberts Meadow Shelter","694.49","6.21","633.06","-169.65","-0.03","0.21","0.02","0.02 mi from trail. Campground, Water from stream 50 yds below shelter--gb, 230"
"Fullhardt Knob Shelter","708.73","14.24","799.15","166.09","-0.12","0.21","0.04","0.04 mi from trail. Campground, Water from cistern (unreliable); spring is 0.4 mi N on AT then 350 ft (unblazed)"
"Wilson Creek Shelter","714.56","5.83","565.68","-233.48","-0.12","0.94","0.01","0.01 mi from trail. Campground, Water from stream 200 yds in front of shelter--gb, 209; camping below shelter--g"
"Bobblets Gap Shelter","721.78","7.21","633.44","67.76","-0.77","0.94","0.07","0.07 mi from trail. Campground, Unprotected spring is nearby, may be low after long dry spells--gb, 200"
"Cove Mountain Shelter","727.34","5.57","594.28","-39.16","-1.25","0.0","0.01","0.01 mi from trail. Campground, No convienent water at shelter--gb, 187"
"Bryant Ridge Shelter","733.86","6.52","392.94","-201.34","-4.36","0.0","0.01","0.01 mi from trail. Campground, Ample water--gb, 172"
"Cornelius Creek Shelter","738.76","4.9","929.76","536.83","-3.88","3.07","0.04","0.04 mi from trail. Campground, Water from unprotected springs; campsites nearby--gb, 172"
"Thunder Hill Shelter","743.95","5.19","1197.08","267.32","0.0","3.47","0.0","0.0 mi from trail. Campground, Walled-in spring (unprotected) is to W side of AT, 70 ft S of shelter--gb, 162"
"Matts Creek Shelter","756.25","12.29","255.64","-941.44","0.0","0.47","0.0","0.0 mi from trail. Campground, AT reaches shelter just N of wooden bridge--gb, 145"
"Johns Hollow Shelter","761.32","5.08","313.34","57.7","0.0","6.97","0.05","0.05 mi from trail. Campground, Between creek and unprotected spring--gb, 117; Use stream for water, not the spr"
"Punchbowl Shelter","769.69","8.37","796.29","482.95","0.0","8.39","0.16","0.16 mi from trail. Campground, Spring (unprotected) in front of shelter, about 50 ft downstream from pond outle"
"Brown Mountain Creek Shelter","778.43","8.74","416.74","-379.54","-0.78","1.49","0.06","0.06 mi from trail. Campground, Two unprotected springs are near shelter--gb, 99"
"Cow Camp Shelter","783.91","5.48","1065.32","648.57","-1.44","0.0","0.1","0.1 mi from trail. Campground, Has two unprotected springs--gb, 89; Campsites nearby--gb, 84"
"Seeley-Woodworth Shelter","793.74","9.83","1155.57","90.25","-0.8","0.0","0.04","0.04 mi from trail. Campground, Water from unprotected spring 0.1 mi beyond shelter on blue-blazed trail--gb, 71"
"The Priest Shelter","800.56","6.81","1185.0","29.43","-0.14","0.0","0.07","0.07 mi from trail. Campground, Ample spring water (unprotected source) at site--gb, 55; Tent spaces are availab"
"Harpers Creek Shelter","807.38","6.82","536.18","-648.82","-0.19","0.0","0.08","0.08 mi from trail. Campground, A large creek runs in front of the shelter; in droughts go upstream and find wat"
"Maupin Field Shelter","813.41","6.03","836.29","300.11","-0.75","0.0","0.07","0.07 mi from trail. Campground, Several tentsites; water from spring 50 ft behind shelter--gb, 45"
"Paul C. Wolfe Shelter","827.11","13.7","493.02","-343.27","-0.56","8.43","0.01","0.01 mi from trail. Campground, Shelter is on W side of AT; water available from Mill Creek--gb, 38"
"Calf Mountain Shelter","838.62","11.51","781.48","288.46","-2.13","8.43","0.26","0.26 mi from trail. Campground, Spring nearby. Also, PATC shelter 0.1 mile away as well."
"Blackrock Hut","851.39","12.77","834.29","52.82","-2.13","0.71","0.1","0.1 mi from trail. "
"Pinefield Hut","864.46","13.07","747.6","-86.69","-1.82","0.71","0.05","0.05 mi from trail. Campground, Hut is available to long-distance hikers only; spring is behind hut--gb, 180"
"Hightop Hut","872.78","8.32","990.28","242.67","-1.82","0.78","0.08","0.08 mi from trail. Campground, Hut is to be used by long-distance hikers only; spring is 400 ft downhill from h"
"Bearfence Mountain Hut","885.34","12.56","965.06","-25.22","-0.21","0.78","0.06","0.06 mi from trail. Campground, Spring 50 ft to right of hut is often dry by late summer; hut is for use of long"
"Rock Spring Hut","896.91","11.57","1073.16","108.1","-0.21","5.54","0.04","0.04 mi from trail. "
"Pass Mountain Hut","912.23","15.32","857.98","-215.18","0.0","5.75","0.15","0.15 mi from trail. Campground, Hut for use of long distance AT hikers only; spring is a few feet behind hut--gb"
"Gravel Springs Hut","925.13","12.9","805.7","-52.28","-1.77","0.21","0.1","0.1 mi from trail. Campground, Gravel Springs Hut is 0.2 mi south of Gravel Springs Gap and another 0.2 mi  dow"
"Tom Floyd Wayside Shelter","935.55","10.41","592.81","-212.89","-3.49","0.0","0.02","0.02 mi from trail. Campground, Lies 0.2 mi uphill from Ginger Spring--gb, 162"
"Jim & Molly Denton Shelter","943.57","8.02","395.65","-197.16","-3.56","0.0","0.03","0.03 mi from trail. Campground, Facilities include porch, privy, spring, shower, covered picnic table, fireplace"
"Manassas Gap Shelter","949.18","5.61","515.1","119.45","-1.85","1.04","0.04","0.04 mi from trail. Campground, A blue-blazed trail leads 70 yds E to Manassas Gap Shelter and spring--gb, 150"
"Dick's Dome Shelter","953.58","4.4","430.02","-85.08","-1.6","1.04","0.12","0.12 mi from trail. Campground, Privy is on hillside a short distance above; taking water from the creek is not"
"Rod Hollow Shelter","962.73","9.15","269.35","-160.67","-1.91","0.0","0.11","0.11 mi from trail. Campground, Shelter has spring,  privy, and sheltered picnic table and hearthgb, 136"
"Sam Moore Shelter","969.6","6.87","275.57","6.22","-0.31","0.67","0.07","0.07 mi from trail. Campground, Shelter has a privy, fireplace, and sheltered picnic table--gb, 136"
"Bears Den Hostel","972.25","2.65","373.6","98.04","0.0","2.27","0.1","0.1 mi from trail. Campground, ATC owns/operates; for use by hikers and travelers; fee charged"
"Blackburn Trail Center","980.35","8.1","506.88","133.28","-0.95","1.6","0.16","0.16 mi from trail. Campground, PATC work center and recreation site/camping/primitive cabin/water/solar shower/"
"David Lesser Shelter","983.58","3.23","442.13","-64.75","-2.22","0.0","0.05","0.05 mi from trail. Campground, Sheltered picnic table, fireplace, and privy; spring is quarter mile down hill--"
"Ed Garvey Shelter","998.84","15.25","347.26","-94.87","-1.27","0.29","0.03","0.03 mi from trail. "
"Crampton Gap Shelter","1003.23","4.39","349.8","2.53","0.0","1.22","0.18","0.18 mi from trail. Campground, Intermittent spring--gb, 88; water at Gathland State Park--gb, 85"
"Rocky Run Shelter","1007.88","4.65","329.93","-19.87","-1.04","0.92","0.15","0.15 mi from trail. Campground, Seasonal spring--gb, 85"
"Pine Knob Shelter","1015.78","7.91","431.36","101.43","-1.04","0.91","0.14","0.14 mi from trail. Campground, Spring nearby; numerous good campsites near shelter--gb, 75"
"Ensign Cowall Shelter","1023.97","8.19","425.61","-5.75","-0.08","0.91","0.03","0.03 mi from trail. "
"Devils Racecourse Shelter","1028.61","4.64","511.44","85.82","-0.08","0.54","0.23","0.23 mi from trail. Campground, There is a spring nearby--Companion 2000, 80"
"Deer Lick Shelters","1038.02","9.4","432.86","-78.57","0.0","0.84","0.01","0.01 mi from trail. Campground, AT passes Deer Lick Shelters and spring on the E; a second spring is 0.25 mi on"
"Antietam Shelter","1040.29","2.27","275.42","-157.44","0.0","0.71","0.01","0.01 mi from trail. Campground, AT reaches Antietam Shelter to E--gb, 205"
"Tumbling Run Shelters","1041.36","1.07","335.89","60.46","0.0","18.5","0.0","0.0 mi from trail. Campground, Tumbling Run Shelters are 30 yds to W of AT--gb, 205"
"Rocky Mountain Shelters","1048.06","6.7","480.59","144.7","0.0","18.32","0.07","0.07 mi from trail. Campground, Same trail leading from AT to Rocky Mtn Shelters continues 0.26 to PA 233, then"
"Quarry Gap Shelters","1053.61","5.54","442.1","-38.49","0.0","0.46","0.0","0.0 mi from trail. Campground, AT arrives at twin Quarry Gap Shelters; spring is located 10 yds north of shelte"
"Birch Run Shelters","1060.91","7.31","553.47","111.37","-0.58","0.23","0.06","0.06 mi from trail. Campground, AT passes twin Birch Run shelters on E side of footpath; spring is on W side of"
"Toms Run Shelters","1067.01","6.1","389.0","-164.46","-0.58","0.02","0.0","0.0 mi from trail. Campground, AT arrives at the twin Toms Run Shelters; spring is behind shelters--gb, 196"
"James Fry Shelter","1078.01","10.99","226.44","-162.56","-0.19","0.02","0.22","0.22 mi from trail. Campground, Spring is 100 ft beyond shelter--gb, 180"
"Alec Kennedy Shelter","1086.41","8.4","273.87","47.42","-3.44","0.0","0.1","0.1 mi from trail. Campground, Spring on side trail behind shelter may be dry; water from stream 0.5 mi S on AT"
"Darlington Shelter","1104.28","17.88","377.02","103.16","-4.17","0.0","0.09","0.09 mi from trail. Campground, A spring is approx. 0.25 mi from the shelter--gb, 151"
"Cove Mountain Shelter","1111.75","7.47","373.77","-3.26","-1.1","0.0","0.11","0.11 mi from trail. Campground, Intermittent spring is 400 ft down mountain from shelter on blue-blazed trail--g"
"Clarks Ferry Shelter","1119.86","8.11","383.02","9.25","-0.18","5.35","0.05","0.05 mi from trail. Campground, A reliable piped spring is 600 ft from the shelter--gb, 138"
"Peters Mountain Shelter","1127.06","7.21","357.52","-25.5","-2.77","5.35","0.01","0.01 mi from trail. Campground, Spring is 275 yds down blue-blazed trail on north side of the mountain (W of AT)"
"Rausch Gap Shelter","1145.42","18.35","307.94","-49.57","-2.77","1.07","0.07","0.07 mi from trail. Campground, On state game lands, is for use of through hikers only; has reliable spring and"
"William Penn Shelter","1158.62","13.2","424.01","116.06","0.0","1.21","0.07","0.07 mi from trail. Campground, A two-story structure w/ two sleeping levels; the second level is a loft w/ wind"
"501 Shelter","1162.67","4.04","437.68","13.68","0.0","1.51","0.07","0.07 mi from trail. Campground, Fully enclosed, water, port-a-potty (in season); there is a caretaker year round"
"Eagles Nest Shelter","1177.79","15.13","481.67","43.99","-0.96","1.36","0.23","0.23 mi from trail. Campground, Yeich Spring is nearby-gb, 102; water source is creek that is crossed on the way"
"Windsor Furnace Shelter","1192.48","14.69","259.62","-222.05","-2.31","0.0","0.09","0.09 mi from trail. Campground, Spring and outhouse are nearby--gb, 87"
"Eckville Shelter","1201.67","9.19","212.5","-47.13","-7.46","0.0","0.07","0.07 mi from trail. Campground, Shelter is 0.2 miles by following blue blazes along road to shelter--gb, 91"
"Allentown Shelter","1209.2","7.53","453.98","241.48","-6.66","0.0","0.02","0.02 mi from trail. Campground, A spring is nearby--gb, 87"
"Bake Oven Knob Shelter","1219.38","10.17","421.06","-32.91","-1.32","0.0","0.01","0.01 mi from trail. Campground, Shelter and Campsite are to E, just below AT--gb, 82"
"George W. Outerbridge Shelter","1226.27","6.89","305.38","-115.68","-1.51","0.0","0.0","0.0 mi from trail. Campground, AT passes shelter on W side of trail; AT passes piped spring in 105 yds--gb, 83"
"Leroy A. Smith Shelter","1243.59","17.32","450.91","145.52","-0.77","0.0","0.08","0.08 mi from trail. Campground, Springs on side trail 0.1 mi past shelter--gb, 72; 2000db, 28"
"Kirkridge Shelter","1257.76","14.18","450.64","-0.27","-0.03","1.14","0.01","0.01 mi from trail. Campground, Water (seasonal) available at outside tap toward the Kirkridge Retreat; follow b"
"Brink Road Shelter","1289.13","31.37","355.25","-95.38","-1.24","1.14","0.14","0.14 mi from trail. Campground, Spring is 350 ft behind shelter; a blue blazed trail leads to privy on opposite"
"Gren Anderson Shelter","1295.8","6.67","404.46","49.21","-1.24","4.91","0.08","0.08 mi from trail. Campground, Spring is 200 ft beyond shelter--gb, 162"
"Mashipacong Shelter","1301.5","5.71","429.69","25.23","0.0","4.93","0.0","0.0 mi from trail. Campground, AT reaches Mashipacong Shelter-gb, 161; water from pump 0.2 mi north along AT at"
"Rutherford Shelter","1304.67","3.17","452.75","23.06","-0.7","0.02","0.18","0.18 mi from trail. "
"High Point Shelter","1309.73","5.05","356.77","-95.98","-4.26","0.0","0.09","0.09 mi from trail. Campground, Water is available from stream before shelter--gb, 153."
