"name","springdist","distprev","elevation","elevationdiff","amenities"
" Tray Mt. ","0.561E2","0.8E0","0.443E4","0.583E3"," None "
" Tray Mt. Shelter (pic) ","0.565E2","0.4E0","0.42E4","-0.23E3"," S,W "
" Swag of the Blue Ridge ","0.601E2","0.36E1","0.34E4","-0.8E3"," None "
" Sassafras Gap ","0.613E2","0.12E1","0.35E4","0.1E3"," W"
" Addis Gap ","0.621E2","0.8E0","0.3304E4","-0.196E3"," C*,W* "
" Kelly Knob ","0.631E2","0.1E1","0.4276E4","0.972E3"," None "
" Deep Gap Shelter (pic) ","0.64E2","0.9E0","0.355E4","-0.726E3"," S,W "
" McClure Gap ","0.651E2","0.11E1","0.365E4","0.1E3"," C "
" Powell Mt. ","0.653E2","0.2E0","0.385E4","0.2E3"," None "
" Moreland Gap ","0.663E2","0.1E1","0.32E4","-0.65E3"," None "
" stream ","0.669E2","0.6E0","0.265E4","-0.55E3"," W"
" Dicks Creek Gap ","0.675E2","0.6E0","0.2675E4","0.25E2"," W,H* "
" campsite ","0.686E2","0.11E1","0.315E4","0.475E3"," C,W "
" Cowart Gap ","0.693E2","0.7E0","0.29E4","-0.25E3"," None "
" Bull Gap ","0.708E2","0.15E1","0.369E4","0.79E3"," None "
" Plumorchard Gap Shelter (pic) ","0.72E2","0.12E1","0.305E4","-0.64E3"," S,W "
" As Knob ","0.727E2","0.7E0","0.346E4","0.41E3"," None "
" Blue Ridge Gap ","0.733E2","0.6E0","0.302E4","-0.44E3"," None "
" campsite ","0.743E2","0.1E1","0.35E4","0.48E3"," C,W "
" Rich Cove Gap ","0.745E2","0.2E0","0.339E4","-0.11E3"," None "
" GA-NC State Line ","0.764E2","0.19E1","0.3825E4","0.435E3"," None "
" Bly Gap ","0.765E2","0.1E0","0.384E4","0.15E2","C,W "
" Sharp Top ","0.768E2","0.3E0","0.434E4","0.5E3","None"
" Sassafras Gap ","0.784E2","0.16E1","0.43E4","-0.4E2"," None "
" Muskrat Creek Shelter (pic) ","0.793E2","0.9E0","0.46E4","0.3E3"," S,W "
" Whiteoak Stamp ","0.801E2","0.8E0","0.462E4","0.2E2"," None "
" Chunky Gal Trail ","0.803E2","0.2E0","0.47E4","0.8E2"," None "
" Wateroak Gap ","0.812E2","0.9E0","0.449E4","-0.21E3"," None "
" Deep Gap, USFS 71, Kimsey Creek Trail ","0.833E2","0.21E1","0.4341E4","-0.149E3"," W"
" Standing Indian Shelter (pic) ","0.842E2","0.9E0","0.476E4","0.419E3"," S,W"
" Standing Indian Mt. ","0.857E2","0.15E1","0.5498E4","0.738E3"," W "
"Beech Gap ","0.886E2","0.29E1","0.446E4","-0.1038E4"," C,W "
" Timber Ridge Trail ","0.914E2","0.28E1","0.47E4","0.24E3"," None "
" Carter Gap Shelter (pic) ","0.918E2","0.4E0","0.454E4","-0.16E3"," S,W "
" Betty Creek Gap ","0.955E2","0.37E1","0.43E4","-0.24E3","C,W "
" Mooney Gap, USFS 83 ","0.964E2","0.9E0","0.44E4","0.1E3"," None "
" spring ","0.966E2","0.2E0","0.45E4","0.1E3"," W "
" Bearpen Trail, USFS 67 ","0.977E2","0.11E1","0.479E4","0.29E3"," None "
" Albert Mt. ","0.98E2","0.3E0","0.525E4","0.46E3"," None "
" Big Spring Shelter (pic) ","0.986E2","0.6E0","0.494E4","-0.31E3","S,W "
" Glassmine Gap ","0.1014E3","0.28E1","0.416E4","-0.78E3"," None "
" Rock Gap Shelter (pic) ","0.1039E3","0.25E1","0.376E4","-0.4E3","S,W "
" Rock Gap, Standing Indian Campground ","0.104E3","0.1E0","0.375E4","-0.1E2"," C,Sh,G "
" Wallace Gap, Old US 64 ","0.1046E3","0.6E0","0.3738E4","-0.12E2"," None "
" Winding Stair Gap, US 64 ","0.1077E3","0.31E1","0.377E4","0.32E2"," W"
" campsite ","0.1086E3","0.9E0","0.397E4","0.2E3"," C,W"
" Swinging Lick Gap ","0.1088E3","0.2E0","0.41E4","0.13E3"," None "
" Panther Gap ","0.1097E3","0.9E0","0.448E4","0.38E3"," None "
" Siler Bald Shelter (pic) ","0.1114E3","0.17E1","0.46E4","0.12E3"," S,W "
" Wayah Gap, SR 1310 ","0.1136E3","0.22E1","0.418E4","-0.42E3"," None "
" USFS 69 ","0.1154E3","0.18E1","0.49E4","0.72E3"," W "
" Wine Spring Bald side trail ","0.1159E3","0.5E0","0.529E4","0.39E3"," C,W "
" Wayah Bald ","0.1178E3","0.19E1","0.5342E4","0.52E2"," None "
" campsite ","0.1182E3","0.4E0","0.52E4","-0.142E3"," C,W "
" Wayah Shelter (pic) ","0.1187E3","0.5E0","0.4759E4","-0.441E3"," S,W "
" Licklog Gap ","0.12E3","0.13E1","0.444E4","-0.319E3"," W "
" Burningtown Gap, SR 1397 ","0.1223E3","0.23E1","0.4236E4","-0.204E3"," None "
" Cold Spring Shelter (pic) ","0.1235E3","0.12E1","0.492E4","0.684E3"," S,C,W "
" Copper Ridge Bald Lookout ","0.1242E3","0.7E0","0.508E4","0.16E3"," None "
" Rocky Bald Lookout side trail ","0.1254E3","0.12E1","0.503E4","-0.5E2"," None "
" spring ","0.1257E3","0.3E0","0.49E4","-0.13E3"," W "
" Tellico Gap, SR 1365 ","0.1271E3","0.14E1","0.385E4","-0.105E4"," None "
" Wesser Bald Tower ","0.1285E3","0.14E1","0.4627E4","0.777E3"," None "
" spring ","0.1292E3","0.7E0","0.41E4","-0.527E3"," W "
" Wesser Bald Shelter (pic) ","0.1293E3","0.1E0","0.4115E4","0.15E2"," S,C,W "
" Jump-up Lookout ","0.1309E3","0.16E1","0.4E4","-0.115E3"," None "
" A. Rufus Morgan Shelter (pic) ","0.1342E3","0.33E1","0.23E4","-0.17E4"," S,W "
" Nantahala Outdoor Center ","0.135E3","0.8E0","0.1723E4","-0.577E3"," L,R,G,O,Sh,Cl,C* "
" Wright Gap ","0.1366E3","0.16E1","0.239E4","0.667E3"," None "
" Grassy Gap ","0.1381E3","0.15E1","0.305E4","0.66E3"," None "
" Swim Bald ","0.141E3","0.29E1","0.471E4","0.166E4"," None "
" Sassafras Gap Shelter (pic) ","0.1419E3","0.9E0","0.433E4","-0.38E3"," S,W "
" Cheoah Bald ","0.1431E3","0.12E1","0.5062E4","0.732E3"," None "
" Locust Grove Gap ","0.1455E3","0.24E1","0.369E4","-0.1372E4"," C,W "
" Simp Gap ","0.1465E3","0.1E1","0.37E4","0.1E2"," None "
" Stecoah Gap, NC 143 ","0.1486E3","0.21E1","0.3165E4","-0.535E3"," W "
" Sweetwater Gap ","0.1496E3","0.1E1","0.327E4","0.105E3"," None "
" Brown Fork Gap Shelter (pic) ","0.151E3","0.14E1","0.38E4","0.53E3"," S,W "
" Brown Fork Gap ","0.1512E3","0.2E0","0.36E4","-0.2E3"," None "
" Hogback Gap ","0.153E3","0.18E1","0.354E4","-0.6E2"," None "
" Cody Gap ","0.1538E3","0.8E0","0.36E4","0.6E2"," C,W "
" Yellow Creek Gap, SR 1242 ","0.1562E3","0.24E1","0.298E4","-0.62E3"," None "
" Cable Gap Shelter (pic) ","0.1571E3","0.9E0","0.288E4","-0.1E3"," S,W "
" Black Gum Gap ","0.1585E3","0.14E1","0.349E4","0.61E3"," None "
" Walker Gap ","0.1599E3","0.14E1","0.345E4","-0.4E2"," None "
" campsite ","0.1601E3","0.2E0","0.32E4","-0.25E3"," C,W "
" NC 28, Fontana Dam ","0.1626E3","0.25E1","0.181E4","-0.139E4"," L*,R*,G*,O*,Cl* "
" Fontana Dam Shelter (pic) ","0.1637E3","0.11E1","0.1775E4","-0.35E2"," S,W "
" Fontana Dam Visitors Center ","0.164E3","0.3E0","0.17E4","-0.75E2"," W,Sh "
" Fontana Dam, GSMNP west boundary ","0.1644E3","0.4E0","0.174E4","0.4E2"," None "
" Shuckstack ","0.1684E3","0.4E1","0.38E4","0.206E4"," None "
" Birch Spring Gap ","0.1696E3","0.12E1","0.368E4","-0.12E3"," C,W "
" Doe Knob ","0.1719E3","0.23E1","0.452E4","0.84E3"," None "
" Ekaneetlee Gap ","0.1733E3","0.14E1","0.3842E4","-0.678E3"," W "
" Mollies Ridge Shelter (pic) ","0.175E3","0.17E1","0.457E4","0.728E3"," S,W "
" Devils Tater Patch ","0.1751E3","0.1E0","0.4775E4","0.205E3"," None "
" Little Abrams Gap ","0.1767E3","0.16E1","0.412E4","-0.655E3"," None "
" Russell Field Shelter (pic) ","0.1775E3","0.8E0","0.436E4","0.24E3"," S,W "
" Spence Field Shelter (pic) ","0.1804E3","0.29E1","0.4915E4","0.555E3"," S,W "
" Rocky Top ","0.1816E3","0.12E1","0.544E4","0.525E3"," None "
" Thunderhead Mt. ","0.1822E3","0.6E0","0.5527E4","0.87E2"," None "
" Beechnut Gap ","0.1825E3","0.3E0","0.492E4","-0.607E3"," W "
" Mineral Gap ","0.1832E3","0.7E0","0.503E4","0.11E3"," None "
" Sugar Tree Gap ","0.1856E3","0.24E1","0.4435E4","-0.595E3"," None "
" Derrick Knob Shelter (pic) ","0.1867E3","0.11E1","0.488E4","0.445E3"," S,W "
" Sams Gap ","0.1869E3","0.2E0","0.4995E4","0.115E3"," W "
" Buckeye Gap ","0.1895E3","0.26E1","0.4817E4","-0.178E3"," W "
" Silers Bald Shelter (pic) ","0.1922E3","0.27E1","0.546E4","0.643E3"," S,W "
" Silers Bald ","0.1924E3","0.2E0","0.5607E4","0.147E3"," None "
" Double Spring Gap Shelter (pic) ","0.1939E3","0.15E1","0.5505E4","-0.102E3"," S,W "
" Clingmans Dome ","0.1964E3","0.25E1","0.6643E4","0.1138E4"," W "
" Mt. Love ","0.198E3","0.16E1","0.6446E4","-0.197E3"," None "
" Mt. Collins & Shelter (pic) ","0.2002E3","0.22E1","0.587E4","-0.576E3"," S,W "
" Indian Gap ","0.203E3","0.28E1","0.5286E4","-0.584E3"," None "
" Newfound Gap, US 441 ","0.2047E3","0.17E1","0.5045E4","-0.241E3"," W "
" Boulevard Trail ","0.2074E3","0.27E1","0.5695E4","0.65E3"," None "
" Icewater Spring Shelter (pic) ","0.2077E3","0.3E0","0.592E4","0.225E3"," S,W "
" Charlies Bunion ","0.2085E3","0.8E0","0.5905E4","-0.15E2"," None "
" Porters Gap, The Sawteeth ","0.2105E3","0.2E1","0.5577E4","-0.328E3"," None "
" Bradley’s View ","0.2138E3","0.33E1","0.52E4","-0.377E3"," None "
" Peck’s Corner Shelter (pic) ","0.2151E3","0.13E1","0.528E4","0.8E2"," S,W "
" Mt. Sequoyah ","0.2178E3","0.27E1","0.6069E4","0.789E3"," None "
" Mt. Chapman ","0.2193E3","0.15E1","0.6417E4","0.348E3"," None "
" Tri-Corner Knob Shelter (pic) ","0.2203E3","0.1E1","0.592E4","-0.497E3"," S,W "
" Guyot Spur ","0.2215E3","0.12E1","0.636E4","0.44E3"," None "
" Guyot Spring ","0.2221E3","0.6E0","0.615E4","-0.21E3"," W "
" Mt. Guyot side trail ","0.2222E3","0.1E0","0.6395E4","0.245E3"," None "
" Snake Den Ridge Trail ","0.2241E3","0.19E1","0.56E4","-0.795E3"," None "
" Cosby Knob ","0.2275E3","0.34E1","0.515E4","-0.45E3"," None "
" Cosby Knob Shelter (pic) ","0.228E3","0.5E0","0.47E4","-0.45E3"," S,W "
" Mt. Cammerer side trail ","0.2308E3","0.28E1","0.5E4","0.3E3"," None "
" spring ","0.2313E3","0.5E0","0.43E4","-0.7E3"," W "
" spring ","0.2329E3","0.16E1","0.37E4","-0.6E3"," W "
" Davenport Gap Shelter (pic) ","0.2351E3","0.22E1","0.26E4","-0.11E4"," S,W "
" Davenport Gap, GSMNP east boundary ","0.236E3","0.9E0","0.1975E4","-0.625E3"," None "
" State Line Branch ","0.2373E3","0.13E1","0.16E4","-0.375E3"," C,W "
" Pigeon River ","0.2375E3","0.2E0","0.14E4","-0.2E3"," None "
" I-40 ","0.2379E3","0.4E0","0.15E4","0.1E3"," None "
" Green Corner Rd. ","0.2384E3","0.5E0","0.18E4","0.3E3"," L,G,Cl,Sh "
" Painter Branch ","0.2407E3","0.23E1","0.31E4","0.13E4"," C,W "
" Spanish Oak Gap ","0.2416E3","0.9E0","0.373E4","0.63E3"," None "
" Snowbird Mt. ","0.2431E3","0.15E1","0.4263E4","0.533E3"," None "
" campsite ","0.2436E3","0.5E0","0.41E4","-0.163E3"," C,W "
" Groundhog Creek Shelter (pic) ","0.2456E3","0.2E1","0.285E4","-0.125E4"," S,W "
" Brown Gap ","0.2485E3","0.29E1","0.35E4","0.65E3"," C,W "
" Max Patch Rd, NC 1182 ","0.2512E3","0.27E1","0.438E4","0.88E3"," None "
" Max Patch Mt. ","0.252E3","0.8E0","0.4629E4","0.249E3"," None "
" Roaring Fork Shelter (pic) ","0.2538E3","0.18E1","0.395E4","-0.679E3"," S,W "
" Lemon Gap, NC 1182/TN 107 ","0.2574E3","0.36E1","0.355E4","-0.4E3"," None "
" Walnut Mt. Shelter (pic) ","0.2587E3","0.13E1","0.426E4","0.71E3"," S,W "
" Bluff Mt. ","0.2611E3","0.24E1","0.4686E4","0.426E3"," None "
" Big Rock Spring ","0.2627E3","0.16E1","0.373E4","-0.956E3"," W "
" Garenflo Gap ","0.2652E3","0.25E1","0.25E4","-0.123E4"," None "
" Deer Park Mt. Shelter (pic) ","0.2686E3","0.34E1","0.233E4","-0.17E3"," S,W "
" Hot Springs, US 25/70 ","0.2718E3","0.32E1","0.1326E4","-0.1004E4"," L,C,R,G,O,Cl,Sh "
" Lovers Leap Rock ","0.2732E3","0.14E1","0.182E4","0.494E3"," None "
" Pump Gap ","0.2751E3","0.19E1","0.213E4","0.31E3"," None "
" campsite ","0.2767E3","0.16E1","0.249E4","0.36E3"," C,W "
" Tanyard Gap, US 25/70 ","0.2777E3","0.1E1","0.227E4","-0.22E3"," None "
" Rich Mt. Fire Tower side trail ","0.28E3","0.23E1","0.36E4","0.133E4"," C,W "
" Hurricane Gap ","0.2811E3","0.11E1","0.29E4","-0.7E3"," None "
" Spring Mt. Shelter (pic) ","0.2828E3","0.17E1","0.33E4","0.4E3"," S,W "
" spring ","0.2843E3","0.15E1","0.319E4","-0.11E3"," W "
" Allen Gap, NC 208/TN 70 ","0.2865E3","0.22E1","0.2234E4","-0.956E3"," W "
" Log Cabin Dr. ","0.2881E3","0.16E1","0.256E4","0.326E3"," L*,C*,G*,Sh* "
" Little Laurel Shelter (pic) ","0.2914E3","0.33E1","0.362E4","0.106E4"," S,W "
" Camp Creek Bald side trail ","0.2927E3","0.13E1","0.475E4","0.113E4"," None "
" spring ","0.2944E3","0.17E1","0.439E4","-0.36E3"," W "
" Blackstack Cliffs ","0.2947E3","0.3E0","0.442E4","0.3E2"," None "
" Big Firescald Knob ","0.2957E3","0.1E1","0.436E4","-0.6E2"," W "
" Jerry Cabin Shelter (pic) ","0.2982E3","0.25E1","0.415E4","-0.21E3"," S,W "
" Big Butt ","0.3001E3","0.19E1","0.475E4","0.6E3"," C "
" spring ","0.3014E3","0.13E1","0.448E4","-0.27E3"," W "
" Shelton Graves ","0.3017E3","0.3E0","0.449E4","0.1E2"," None "
" Flint Mt. Shelter (pic) ","0.3041E3","0.24E1","0.357E4","-0.92E3"," S,W "
" campsite ","0.305E3","0.9E0","0.34E4","-0.17E3"," C,W "
" Devil Fork Gap, NC 212 ","0.3068E3","0.18E1","0.31E4","-0.3E3"," None "
" Rector Laurel Rd. ","0.3073E3","0.5E0","0.296E4","-0.14E3"," None "
" Frozen Knob ","0.3101E3","0.28E1","0.4579E4","0.1619E4"," None "
" Big Flat ","0.3107E3","0.6E0","0.416E4","-0.419E3"," C,W "
" Rice Gap ","0.3117E3","0.1E1","0.38E4","-0.36E3"," None "
" Hogback Ridge Shelter (pic) ","0.3129E3","0.12E1","0.4255E4","0.455E3"," S,W "
" High Rock ","0.3135E3","0.6E0","0.446E4","0.205E3"," None "
" > Sams Gap, I-26 ","0.3153E3","0.18E1","0.385E4","-0.61E3"," None "
" springs ","0.316E3","0.7E0","0.4E4","0.15E3"," W "
" Street Gap ","0.3177E3","0.17E1","0.41E4","0.1E3"," None "
" Low Gap ","0.319E3","0.13E1","0.43E4","0.2E3"," C,W "
" spring ","0.321E3","0.2E1","0.485E4","0.55E3"," W "
" Big Bald ","0.3218E3","0.8E0","0.5516E4","0.666E3"," None "
" Big Stamp ","0.3221E3","0.3E0","0.53E4","-0.216E3"," C,W "
" Bald Mt. Shelter (pic) ","0.323E3","0.9E0","0.51E4","-0.2E3"," None "
" campsite ","0.3234E3","0.4E0","0.489E4","-0.21E3"," C,W "
" Little Bald ","0.3244E3","0.1E1","0.522E4","0.33E3"," None "
" Whistling Gap ","0.3264E3","0.2E1","0.365E4","-0.157E4"," C,W "
" High Rocks side trail ","0.3267E3","0.3E0","0.41E4","0.45E3"," None "
" campsite ","0.3282E3","0.15E1","0.349E4","-0.61E3"," C,W "
" Spivey Gap, US 19W ","0.3287E3","0.5E0","0.32E4","-0.29E3"," None "
" Oglesby Branch ","0.3293E3","0.6E0","0.38E4","0.6E3"," W "
" spring ","0.3334E3","0.41E1","0.33E4","-0.5E3"," W "
" No Business Knob Shelter (pic) ","0.3336E3","0.2E0","0.318E4","-0.12E3"," S,W "
" Temple Hill Gap ","0.336E3","0.24E1","0.285E4","-0.33E3"," None "
" Nolichucky River ","0.3399E3","0.39E1","0.17E4","-0.115E4"," None "
" Curley Maple Gap Shelter (pic) ","0.3441E3","0.42E1","0.307E4","0.137E4"," S,W "
" Indian Grave Gap, TN 395/NC 197 ","0.3482E3","0.41E1","0.335E4","0.28E3"," None "
" USFS 230 ","0.3493E3","0.11E1","0.398E4","0.63E3"," None "
" Beauty Spot ","0.3505E3","0.12E1","0.4437E4","0.457E3"," None "
" Beauty Spot Gap ","0.351E3","0.5E0","0.412E4","-0.317E3"," C,W "
" Deep Gap ","0.352E3","0.1E1","0.41E4","-0.2E2"," C,W "
" USFS 230 ","0.3526E3","0.6E0","0.466E4","0.56E3"," None "
" Unaka Mt. ","0.3536E3","0.1E1","0.518E4","0.52E3"," None "
" spring ","0.3539E3","0.3E0","0.475E4","-0.43E3"," W "
" Low Gap ","0.3548E3","0.9E0","0.39E4","-0.85E3"," W "
" Cherry Gap Shelter (pic) ","0.3568E3","0.2E1","0.39E4","0.0"," S,W "
" Iron Mt. Gap, TN 107/NC 226 ","0.36E3","0.32E1","0.213E4","-0.177E4"," None "
" campsite ","0.3613E3","0.13E1","0.395E4","0.182E4"," C,W "
" Greasy Creek Gap ","0.3642E3","0.29E1","0.4034E4","0.84E2"," W,L*,C*,G*,R*,Sh* "
" campsite ","0.365E3","0.8E0","0.411E4","0.76E2"," C,W "
" Clyde Smith Shelter (pic) ","0.3661E3","0.11E1","0.44E4","0.29E3"," S,W "
" Little Rock Knob ","0.367E3","0.9E0","0.4918E4","0.518E3"," None "
" Hughes Gap ","0.3692E3","0.22E1","0.404E4","-0.878E3"," None "
" Ash Gap ","0.371E3","0.18E1","0.535E4","0.131E4"," C,W "
" Roan High Bluff Trail ","0.3718E3","0.8E0","0.62E4","0.85E3"," W "
" Roan High Knob & Shelter (pic) ","0.3725E3","0.7E0","0.6275E4","0.75E2"," S,W "
" Carvers Gap, TN143/NC 261 ","0.374E3","0.15E1","0.5512E4","-0.763E3"," W "
" Grassy Ridge Bald side trail ","0.3759E3","0.19E1","0.577E4","0.258E3"," C*,W* "
" Stan Murray Shelter (pic) ","0.3773E3","0.14E1","0.505E4","-0.72E3"," S,W "
" Yellow Mt. Gap, Overmountain Shelter (pic) ","0.379E3","0.17E1","0.455E4","-0.5E3"," S,W "
" Little Hump Mt. ","0.3806E3","0.16E1","0.5459E4","0.909E3"," None "
" Bradley Gap ","0.3819E3","0.13E1","0.495E4","-0.509E3"," C,W "
" Hump Mt. ","0.3828E3","0.9E0","0.5587E4","0.637E3"," None "
" Doll Flats, TN-NC State Line ","0.3852E3","0.24E1","0.46E4","-0.987E3"," C,W "
" spring ","0.3876E3","0.24E1","0.306E4","-0.154E4"," W "
" Apple House Shelter (pic) ","0.3877E3","0.1E0","0.3E4","-0.6E2"," S,W "
" US 19E, Elk Park, NC ","0.3882E3","0.5E0","0.2895E4","-0.105E3"," L,C,R,Sh "
" Bear Branch Rd. ","0.3884E3","0.2E0","0.29E4","0.5E1"," None "
" Buck Mt. Rd. ","0.3915E3","0.31E1","0.334E4","0.44E3"," None "
" Campbell Hollow Rd. ","0.3918E3","0.3E0","0.333E4","-0.1E2"," None "
" campsite ","0.3946E3","0.28E1","0.359E4","0.26E3"," C,W "
" campsite ","0.3968E3","0.22E1","0.0","-0.359E4"," C,W "
" Mountaineer Shelter (pic) ","0.397E3","0.2E0","0.347E4","0.347E4"," S,W "
" campsite ","0.3978E3","0.8E0","0.0","-0.347E4"," C,W "
" Walnut Mt. Rd. ","0.3986E3","0.8E0","0.355E4","0.355E4"," None "
" stream ","0.3998E3","0.12E1","0.34E4","-0.15E3"," W "
" viewpoint ","0.4003E3","0.5E0","0.0","-0.34E4"," L "
" Laurel Fork ","0.4008E3","0.5E0","0.329E4","0.329E4"," L,Sh "
" campsite ","0.4047E3","0.39E1","0.341E4","0.12E3"," C,W "
" Moreland Gap Shelter (pic) ","0.4066E3","0.19E1","0.3815E4","0.405E3"," S,W "
" White Rocks Mt. ","0.4079E3","0.13E1","0.4206E4","0.391E3"," None "
" campsite ","0.4087E3","0.8E0","0.0","-0.4206E4"," C,W "
" Coon Den Falls side trail ","0.4109E3","0.22E1","0.266E4","0.266E4"," W* "
" Dennis Cove, USFS 50 ","0.4126E3","0.17E1","0.255E4","-0.11E3"," C,W,L,G,Cl,Sh "
" Laurel Fork Falls ","0.4138E3","0.12E1","0.212E4","-0.43E3"," W "
" Laurel Fork Shelter (pic) ","0.4145E3","0.7E0","0.245E4","0.33E3"," S,W "
" Waycaster Spring ","0.4148E3","0.3E0","0.0","-0.245E4"," W "
" US 321 side trail ","0.4153E3","0.5E0","0.19E4","0.19E4"," W,L*,R*,G* "
" Pond Flats ","0.4183E3","0.3E1","0.378E4","0.188E4"," C,W "
" US 321 ","0.4215E3","0.32E1","0.199E4","-0.179E4"," L*,R*,G* "
" Griffith Branch ","0.4228E3","0.13E1","0.21E4","0.11E3"," C,W "
" Watauga Lake Shelter (pic) ","0.4233E3","0.5E0","0.213E4","0.3E2"," S,W "
" Watauga Dam ","0.4244E3","0.11E1","0.1915E4","-0.215E3"," None "
" Wilbur Lake Rd. ","0.4257E3","0.13E1","0.225E4","0.335E3"," None "
" spring ","0.4284E3","0.27E1","0.34E4","0.115E4"," W "
" Vandeventer Shelter (pic) ","0.4301E3","0.17E1","0.362E4","0.22E3"," S,W "
